frame,det_idx,x1,y1,x2,y2,cx,cy,conf
20,3,972.1,463.6,986.2,485.1,979.2,474.4,0.344
20,4,607.8,775.8,660.6,825.5,634.2,800.6,0.174
21,0,785.6,524.3,844.4,601.2,815.0,562.7,0.801
21,1,1608.2,627.5,1640.9,675.0,1624.6,651.2,0.721
21,2,974.4,468.0,987.4,487.6,980.9,477.8,0.480
21,3,787.1,524.3,844.4,579.1,815.8,551.7,0.447
22,0,1609.6,631.2,1642.5,678.9,1626.1,655.0,0.712
22,1,791.4,526.0,851.1,600.2,821.3,563.1,0.692
22,2,793.5,526.0,850.9,577.7,822.2,551.8,0.615
22,3,975.4,473.5,989.4,494.5,982.4,484.0,0.476
22,4,970.3,473.5,989.3,499.0,979.8,486.2,0.169
23,0,801.1,526.6,858.8,578.5,829.9,552.6,0.790
23,1,1611.6,637.2,1645.0,684.3,1628.3,660.8,0.775
23,2,798.6,526.8,859.1,600.5,828.8,563.6,0.430
23,3,982.1,482.6,992.9,502.1,987.5,492.4,0.136
24,0,1613.9,643.8,1647.5,691.4,1630.7,667.6,0.767
24,1,808.9,526.0,866.5,577.1,837.7,551.5,0.726
24,2,808.1,526.0,866.4,599.8,837.3,562.9,0.488
24,3,985.4,492.6,997.8,520.9,991.6,506.7,0.123
24,4,985.2,493.4,995.0,514.8,990.1,504.1,0.116
25,0,1615.3,649.6,1648.1,697.6,1631.7,673.6,0.748
25,1,815.8,522.5,874.1,600.2,845.0,561.3,0.661
25,2,816.2,522.5,873.6,577.2,844.9,549.8,0.562
25,3,986.5,507.3,998.9,524.5,992.7,515.9,0.117
25,4,985.6,506.0,997.0,523.1,991.3,514.6,0.108
26,0,824.0,517.4,882.3,599.7,853.2,558.6,0.720
26,1,824.4,517.9,882.5,575.6,853.4,546.8,0.581
26,2,1615.2,655.6,1648.4,702.6,1631.8,679.1,0.526
27,0,1613.7,659.6,1647.5,707.5,1630.6,683.5,0.622
27,1,831.0,512.8,892.0,597.1,861.5,554.9,0.527
27,2,832.6,513.0,891.9,573.2,862.3,543.1,0.456
27,3,990.0,523.5,999.6,548.4,994.8,536.0,0.118
28,0,841.9,505.9,901.1,569.5,871.5,537.7,0.748
28,1,1611.3,663.3,1645.3,711.7,1628.3,687.5,0.695
28,2,826.3,505.7,901.0,577.6,863.7,541.6,0.192
29,0,1609.9,664.5,1643.9,713.1,1626.9,688.8,0.812
29,1,840.3,495.4,909.5,566.5,874.9,530.9,0.707
29,2,969.4,554.2,976.9,567.6,973.1,560.9,0.128
30,0,855.4,482.3,916.2,555.2,885.8,518.7,0.842
30,1,1609.0,664.7,1642.4,712.6,1625.7,688.7,0.787
30,2,966.6,556.2,974.8,573.9,970.7,565.1,0.290
31,0,858.0,469.5,922.9,544.9,890.4,507.2,0.873
31,1,1608.0,664.1,1641.2,711.7,1624.6,687.9,0.745
31,2,964.5,560.1,973.5,577.2,969.0,568.7,0.370
31,3,741.8,850.0,827.4,894.1,784.6,872.1,0.364
31,4,740.6,829.6,827.8,894.5,784.2,862.1,0.258
32,0,862.6,457.2,927.9,536.7,895.3,497.0,0.889
32,1,1607.4,662.2,1640.3,710.2,1623.9,686.2,0.793
32,2,961.8,560.5,971.5,577.1,966.7,568.8,0.397
32,3,804.0,855.0,864.2,885.1,834.1,870.0,0.191
32,4,791.5,845.3,864.8,885.5,828.2,865.4,0.182
32,5,788.8,826.3,865.0,885.3,826.9,855.8,0.102
33,0,864.7,447.7,931.3,528.4,898.0,488.1,0.897
33,1,1606.3,660.7,1639.7,708.4,1623.0,684.6,0.815
33,2,960.3,560.6,970.0,577.0,965.2,568.8,0.305
33,3,820.0,842.3,888.5,880.5,854.3,861.4,0.191
34,0,866.3,441.3,931.9,523.2,899.1,482.3,0.883
34,1,1605.0,659.6,1638.8,707.3,1621.9,683.5,0.836
34,2,958.9,561.3,968.3,576.7,963.6,569.0,0.337
