frame,det_idx,x1,y1,x2,y2,cx,cy,conf
17,5,1819.9,611.4,1856.0,652.0,1838.0,631.7,0.223
17,6,1814.3,597.7,1856.0,652.0,1835.2,624.9,0.193
17,7,1061.6,415.6,1076.8,446.6,1069.2,431.1,0.161
18,0,1641.0,628.6,1689.0,682.3,1665.0,655.5,0.783
18,1,730.6,447.6,788.9,521.1,759.8,484.3,0.490
18,2,730.4,447.6,788.6,558.9,759.5,503.2,0.478
18,3,1816.8,602.6,1858.8,657.4,1837.8,630.0,0.308
18,4,1066.0,418.1,1079.5,438.7,1072.8,428.4,0.197
18,5,1061.1,418.2,1079.6,450.6,1070.3,434.4,0.128
19,0,1648.0,632.2,1702.8,687.3,1675.4,659.7,0.785
19,1,738.0,448.7,798.5,557.4,768.2,503.0,0.690
19,2,1827.9,610.2,1865.2,662.7,1846.5,636.5,0.414
19,3,1072.3,421.8,1083.7,439.2,1078.0,430.5,0.355
19,4,737.8,448.4,798.3,520.0,768.0,484.2,0.234
19,5,1069.6,421.8,1083.7,447.2,1076.7,434.5,0.155
20,0,1654.7,633.0,1714.7,690.5,1684.7,661.7,0.836
20,1,747.0,448.3,806.9,519.1,777.0,483.7,0.594
20,2,1655.3,625.2,1869.8,690.8,1762.5,658.0,0.336
20,3,746.9,448.3,807.1,549.2,777.0,498.7,0.329
20,4,1075.0,424.1,1087.6,442.5,1081.3,433.3,0.281
20,5,1833.2,626.5,1870.3,665.7,1851.7,646.1,0.172
21,0,1661.6,635.8,1724.2,693.7,1692.9,664.8,0.782
21,1,756.1,448.5,815.3,520.7,785.7,484.6,0.552
21,2,755.8,448.4,815.4,554.2,785.6,501.3,0.382
21,3,1077.4,426.4,1091.1,445.9,1084.2,436.2,0.336
21,4,1074.9,426.5,1091.0,454.3,1083.0,440.4,0.166
22,0,1667.3,635.6,1733.7,696.2,1700.5,665.9,0.816
22,1,764.8,448.3,823.5,518.0,794.1,483.1,0.772
22,2,1079.7,429.1,1094.1,448.0,1086.9,438.6,0.268
22,3,1076.9,429.1,1094.1,454.5,1085.5,441.8,0.198
22,4,1071.4,429.2,1094.2,458.3,1082.8,443.8,0.123
23,0,1673.9,636.6,1741.9,697.6,1707.9,667.1,0.845
23,1,773.5,448.2,831.4,517.6,802.5,482.9,0.731
23,2,1084.3,432.3,1095.9,450.0,1090.1,441.1,0.315
23,3,772.9,448.1,831.3,549.4,802.1,498.8,0.211
23,4,1081.5,432.2,1096.1,453.5,1088.8,442.9,0.208
23,5,1862.7,646.8,1883.2,674.4,1873.0,660.6,0.128
24,0,1677.0,636.6,1746.9,698.6,1711.9,667.6,0.844
24,1,781.6,447.3,839.7,515.3,810.6,481.3,0.589
24,2,1084.7,435.5,1097.8,458.6,1091.3,447.0,0.392
24,3,1081.0,435.4,1097.8,462.8,1089.4,449.1,0.137
25,0,1682.3,635.3,1752.1,699.4,1717.2,667.4,0.847
25,1,789.7,446.3,848.0,514.5,818.8,480.4,0.629
25,2,789.7,446.1,848.1,546.4,818.9,496.2,0.383
25,3,1086.4,438.6,1099.2,460.3,1092.8,449.5,0.256
25,4,1074.0,438.7,1098.9,467.5,1086.5,453.1,0.182
26,0,1685.7,632.2,1757.0,699.4,1721.4,665.8,0.834
26,1,798.5,444.4,857.2,512.1,827.9,478.2,0.558
26,2,798.8,444.3,857.6,547.6,828.2,495.9,0.473
26,3,1074.7,443.6,1099.9,469.1,1087.3,456.3,0.367
26,4,1087.8,443.3,1099.8,460.3,1093.8,451.8,0.175
26,5,1072.6,443.1,1101.7,477.6,1087.2,460.3,0.133
26,6,1873.7,675.7,1919.7,694.4,1896.7,685.1,0.124
27,0,1688.8,630.8,1760.5,699.8,1724.7,665.3,0.840
27,1,807.9,442.1,866.6,508.3,837.3,475.2,0.571
27,2,808.0,441.8,866.7,545.4,837.3,493.6,0.394
27,3,1089.2,446.8,1099.5,464.6,1094.3,455.7,0.233
27,4,1085.0,446.4,1099.6,467.3,1092.3,456.9,0.196
27,5,1074.8,447.5,1100.7,472.4,1087.7,460.0,0.118
28,0,1692.1,630.3,1762.9,700.8,1727.5,665.5,0.845
28,1,817.0,440.0,875.7,507.2,846.3,473.6,0.665
28,2,817.2,440.1,875.8,540.9,846.5,490.5,0.239
29,0,1694.2,632.7,1763.9,703.7,1729.1,668.2,0.818
29,1,824.9,438.0,884.1,505.3,854.5,471.6,0.627
29,2,824.9,437.8,884.3,536.8,854.6,487.3,0.347
30,0,1696.7,635.7,1764.5,707.9,1730.6,671.8,0.865
30,1,831.7,438.2,891.8,542.0,861.7,490.1,0.577
30,2,831.9,438.0,891.5,504.3,861.7,471.1,0.372
31,0,1699.9,637.5,1762.8,710.6,1731.4,674.0,0.875
31,1,835.8,438.2,897.9,503.2,866.9,470.7,0.708
31,2,835.7,438.1,897.9,533.6,866.8,485.9,0.276
32,0,1699.8,637.8,1760.0,712.5,1729.9,675.1,0.884
32,1,838.8,436.5,903.6,501.1,871.2,468.8,0.613
32,2,838.8,436.5,903.7,538.3,871.3,487.4,0.342
33,0,1699.8,638.8,1757.7,712.9,1728.7,675.8,0.863
33,1,842.7,430.9,910.1,534.7,876.4,482.8,0.577
33,2,842.7,431.0,910.1,496.4,876.4,463.7,0.361
33,3,1070.7,515.5,1081.3,533.6,1076.0,524.6,0.244
33,4,1071.9,510.3,1081.2,533.2,1076.5,521.8,0.199
33,5,1068.6,507.8,1080.9,533.6,1074.7,520.7,0.158
34,0,849.5,422.5,918.5,489.9,884.0,456.2,0.771
34,1,1697.5,639.0,1752.9,712.7,1725.2,675.8,0.686
34,2,1697.4,621.5,1768.1,712.7,1732.7,667.1,0.286
34,3,1069.0,522.9,1079.3,540.2,1074.1,531.6,0.275
35,0,857.6,414.7,927.6,486.2,892.6,450.5,0.787
35,1,1696.2,622.2,1763.7,714.0,1729.9,668.1,0.519
35,2,1696.1,639.9,1747.9,714.1,1722.0,677.0,0.448
35,3,1064.9,526.1,1077.1,544.6,1071.0,535.4,0.436
35,4,857.8,414.5,927.5,517.9,892.6,466.2,0.144
36,0,866.9,410.9,936.7,487.9,901.8,449.4,0.765
36,1,1693.6,639.8,1742.8,714.0,1718.2,676.9,0.678
36,2,1064.1,531.1,1074.4,548.9,1069.3,540.0,0.332
36,3,1693.5,623.5,1759.3,714.1,1726.4,668.8,0.237
36,4,866.0,410.3,936.6,524.4,901.3,467.4,0.201
36,5,1376.8,174.1,1444.4,271.9,1410.6,223.0,0.128
37,0,1689.7,640.2,1739.0,713.3,1714.3,676.7,0.755
37,1,876.0,411.7,944.9,490.3,910.4,451.0,0.702
37,2,1061.2,529.9,1072.4,551.6,1066.8,540.8,0.662
37,3,875.7,411.4,945.0,533.0,910.3,472.2,0.276
37,4,1689.3,625.2,1753.7,713.7,1721.5,669.4,0.193
38,0,884.4,417.0,954.0,499.7,919.2,458.3,0.775
38,1,1687.0,640.5,1735.2,710.1,1711.1,675.3,0.650
38,2,1058.2,532.7,1070.3,553.9,1064.2,543.3,0.522
38,3,1686.9,625.5,1751.3,710.2,1719.1,667.8,0.212
38,4,883.9,416.6,953.7,533.8,918.8,475.2,0.171
39,0,893.7,426.4,961.1,513.3,927.4,469.9,0.830
39,1,1682.9,640.9,1730.2,709.2,1706.6,675.1,0.771
39,2,1054.6,533.2,1067.3,555.5,1060.9,544.3,0.525
39,3,1682.6,625.9,1746.0,709.6,1714.3,667.8,0.212
40,0,901.4,439.6,968.6,529.2,935.0,484.4,0.844
40,1,1676.0,640.7,1726.1,709.4,1701.1,675.0,0.806
40,2,1050.1,533.5,1064.0,556.2,1057.1,544.8,0.641
40,3,1676.2,624.3,1741.6,710.6,1708.9,667.5,0.170
41,0,911.5,455.1,976.9,548.2,944.2,501.6,0.824
41,1,1672.3,640.7,1723.6,708.9,1698.0,674.8,0.778
41,2,1047.3,538.9,1059.2,556.7,1053.2,547.8,0.211
41,3,1047.3,535.3,1061.4,557.0,1054.3,546.2,0.109
42,0,1671.0,640.8,1721.9,708.8,1696.5,674.8,0.839
42,1,921.6,472.6,987.4,570.9,954.5,521.7,0.814
42,2,1045.0,537.3,1059.5,556.9,1052.3,547.1,0.527
42,3,1044.9,531.9,1062.0,557.0,1053.4,544.4,0.129
43,0,932.0,492.3,998.0,589.6,965.0,541.0,0.841
43,1,1669.7,640.9,1721.5,709.0,1695.6,674.9,0.828
43,2,1043.6,534.8,1058.5,556.8,1051.1,545.8,0.547
43,3,413.6,505.4,561.1,568.9,487.3,537.2,0.187
44,0,939.6,511.8,1009.9,605.1,974.8,558.5,0.842
44,1,1670.0,640.6,1722.6,711.0,1696.3,675.8,0.781
44,2,1043.1,538.0,1058.0,555.9,1050.5,546.9,0.568
44,3,413.9,505.7,560.0,569.0,486.9,537.3,0.152
44,4,1670.0,626.8,1738.2,711.3,1704.1,669.0,0.102
45,0,942.0,529.2,1017.4,619.1,979.7,574.1,0.873
45,1,1671.8,640.7,1725.1,711.4,1698.4,676.0,0.814
45,2,1043.2,537.8,1057.6,555.4,1050.4,546.6,0.567
46,0,943.1,537.0,1024.8,618.2,984.0,577.6,0.867
46,1,1673.6,640.8,1726.0,711.4,1699.8,676.1,0.849
46,2,1043.2,537.6,1057.6,554.6,1050.4,546.1,0.597
47,0,1675.9,640.9,1729.1,712.8,1702.5,676.8,0.856
47,1,942.7,516.1,1017.8,604.0,980.3,560.1,0.745
47,2,1044.3,537.0,1058.9,554.2,1051.6,545.6,0.579
47,3,1843.1,669.0,1855.6,687.8,1849.3,678.4,0.156
47,4,916.0,516.0,1018.0,630.3,967.0,573.1,0.119
48,0,1678.0,642.0,1731.2,714.1,1704.6,678.1,0.873
48,1,912.2,469.6,997.8,574.5,955.0,522.1,0.743
48,2,1044.8,536.8,1059.1,553.0,1052.0,544.9,0.577
48,3,1843.8,668.1,1856.4,688.3,1850.1,678.2,0.201
49,0,1680.0,641.6,1733.9,715.2,1706.9,678.4,0.893
49,1,843.9,436.0,942.8,531.6,893.3,483.8,0.567
49,2,1045.8,536.3,1059.7,552.4,1052.7,544.4,0.534
49,3,1844.4,666.5,1857.7,687.2,1851.1,676.8,0.263
49,4,1045.9,532.1,1062.2,552.9,1054.0,542.5,0.116
50,0,1681.5,640.7,1735.3,714.6,1708.4,677.6,0.891
50,1,1046.9,534.0,1061.5,552.0,1054.2,543.0,0.461
50,2,780.3,431.3,870.3,509.4,825.3,470.4,0.439
50,3,1844.3,665.5,1858.4,686.2,1851.4,675.8,0.162
51,0,1682.7,640.0,1736.0,714.2,1709.3,677.1,0.879
51,1,749.3,465.1,837.5,547.1,793.4,506.1,0.847
51,2,1047.8,533.2,1062.9,551.3,1055.4,542.3,0.620
51,3,908.3,781.2,934.8,857.5,921.5,819.3,0.421
51,4,1844.7,664.4,1858.9,685.7,1851.8,675.1,0.245
52,0,1683.2,639.5,1738.6,713.3,1710.9,676.4,0.880
52,1,1049.0,533.9,1063.2,550.5,1056.1,542.2,0.588
52,2,1844.1,662.2,1859.7,684.3,1851.9,673.3,0.395
52,3,769.8,457.7,935.6,566.1,852.7,511.9,0.225
52,4,769.9,469.5,872.5,565.5,821.2,517.5,0.219
53,0,1683.9,638.2,1741.5,712.6,1712.7,675.4,0.896
53,1,1050.3,533.2,1064.3,549.5,1057.3,541.3,0.554
53,2,1844.5,660.8,1860.0,683.2,1852.3,672.0,0.453
54,0,1684.3,638.3,1741.8,712.1,1713.1,675.2,0.889
54,1,860.9,239.2,898.3,387.8,879.6,313.5,0.671
54,2,1844.2,660.2,1860.3,682.9,1852.3,671.5,0.495
54,3,1051.8,530.5,1065.7,548.9,1058.8,539.7,0.451
55,0,1684.3,638.8,1742.7,712.2,1713.5,675.5,0.890
55,1,847.6,253.2,919.9,343.9,883.7,298.6,0.779
55,2,1844.0,660.0,1860.4,683.1,1852.2,671.5,0.481
55,3,1053.2,531.1,1065.7,548.1,1059.4,539.6,0.340
55,4,794.2,436.6,841.4,486.0,817.8,461.3,0.174
56,0,1683.5,639.6,1742.5,712.5,1713.0,676.0,0.879
56,1,1842.5,660.4,1860.2,684.1,1851.4,672.2,0.520
56,2,1054.6,529.6,1066.7,548.0,1060.6,538.8,0.470
56,3,909.0,380.4,964.3,451.7,936.6,416.1,0.393
56,4,884.8,377.5,963.1,456.6,924.0,417.1,0.192
56,5,1020.6,739.6,1063.8,789.8,1042.2,764.7,0.148
57,0,1683.0,640.4,1742.6,712.9,1712.8,676.7,0.868
57,1,1842.5,660.4,1860.1,684.4,1851.3,672.4,0.534
57,2,1055.9,531.1,1067.1,547.6,1061.5,539.4,0.359
57,3,1039.2,701.6,1098.2,777.8,1068.7,739.7,0.124
57,4,1059.5,734.0,1098.3,776.9,1078.9,755.4,0.115
58,0,1683.2,640.3,1743.0,712.7,1713.1,676.5,0.870
58,1,1842.5,660.3,1860.4,684.2,1851.4,672.2,0.542
58,2,1053.6,674.8,1122.2,746.0,1087.9,710.4,0.469
58,3,1056.6,529.8,1067.9,547.4,1062.3,538.6,0.466
59,0,1682.9,640.1,1743.1,712.6,1713.0,676.4,0.869
59,1,1058.0,529.5,1068.5,547.9,1063.2,538.7,0.555
59,2,1842.9,660.2,1860.6,683.8,1851.8,672.0,0.444
59,3,833.5,589.0,891.6,657.1,862.6,623.0,0.438
59,4,1052.3,639.5,1133.3,705.8,1092.8,672.6,0.230
59,5,1073.7,660.6,1133.1,704.7,1103.4,682.6,0.208
60,0,1682.1,640.4,1742.7,712.6,1712.4,676.5,0.872
60,1,1051.0,606.7,1120.0,654.7,1085.5,630.7,0.771
60,2,797.3,598.1,869.9,662.8,833.6,630.4,0.759
60,3,1058.2,531.3,1068.6,547.5,1063.4,539.4,0.472
60,4,1841.9,659.8,1860.3,684.3,1851.1,672.1,0.460
61,0,1682.0,640.4,1743.1,712.6,1712.6,676.5,0.871
61,1,773.2,609.9,851.6,657.1,812.4,633.5,0.668
61,2,1058.8,530.8,1069.1,547.6,1064.0,539.2,0.515
61,3,1842.1,659.9,1860.6,684.3,1851.4,672.1,0.386
61,4,1037.6,591.1,1107.4,642.1,1072.5,616.6,0.247
62,0,1681.2,640.6,1742.7,712.7,1712.0,676.6,0.879
62,1,759.7,601.5,832.6,644.1,796.2,622.8,0.828
62,2,1058.7,530.9,1069.0,547.7,1063.8,539.3,0.505
62,3,1841.5,660.1,1860.5,684.7,1851.0,672.4,0.403
62,4,1023.3,590.8,1088.4,619.9,1055.8,605.4,0.337
62,5,299.7,508.8,321.8,526.1,310.7,517.5,0.171
62,6,299.5,509.0,337.4,526.6,318.5,517.8,0.155
62,7,1022.6,590.5,1090.0,643.5,1056.3,617.0,0.121
63,0,1680.5,640.1,1742.8,712.6,1711.7,676.3,0.889
63,1,752.7,590.7,844.0,631.2,798.3,610.9,0.828
63,2,1058.4,530.9,1068.7,548.0,1063.6,539.5,0.493
63,3,1841.4,660.5,1860.3,684.9,1850.9,672.7,0.423
63,4,1023.4,606.3,1081.1,625.6,1052.2,616.0,0.163
63,5,300.1,511.6,364.2,531.2,332.2,521.4,0.140
63,6,300.0,511.6,344.3,530.2,322.2,520.9,0.139
64,0,1680.4,639.9,1743.3,712.7,1711.8,676.3,0.905
64,1,751.8,575.4,831.2,615.1,791.5,595.2,0.641
64,2,1019.0,624.5,1075.4,657.2,1047.2,640.8,0.556
64,3,1058.4,532.5,1068.4,548.2,1063.4,540.4,0.514
64,4,1840.5,660.2,1860.4,685.5,1850.4,672.9,0.367
64,5,306.1,516.3,348.9,533.8,327.5,525.1,0.275
65,0,1680.7,639.4,1743.4,711.9,1712.0,675.7,0.902
65,1,754.1,554.8,830.3,598.5,792.2,576.6,0.641
65,2,1026.9,650.0,1076.7,706.0,1051.8,678.0,0.589
65,3,1058.1,532.2,1068.2,548.6,1063.2,540.4,0.542
65,4,1841.2,659.8,1861.0,685.5,1851.1,672.6,0.320
66,0,1680.5,638.2,1743.1,711.1,1711.8,674.6,0.894
66,1,759.9,537.6,827.7,585.9,793.8,561.7,0.770
66,2,1057.8,532.4,1068.1,548.5,1062.9,540.4,0.554
66,3,1033.1,689.9,1068.4,756.9,1050.8,723.4,0.527
66,4,1841.1,659.4,1860.8,684.7,1851.0,672.0,0.414
66,5,1020.0,680.3,1068.6,758.0,1044.3,719.1,0.150
66,6,312.1,516.0,349.1,536.3,330.6,526.2,0.141
66,7,759.8,537.8,845.3,595.2,802.6,566.5,0.135
67,0,1680.2,637.2,1742.9,710.1,1711.5,673.6,0.888
67,1,766.9,524.5,830.2,575.4,798.5,550.0,0.785
67,2,1840.6,658.1,1860.5,684.4,1850.6,671.2,0.422
67,3,1057.4,532.6,1067.7,548.2,1062.6,540.4,0.415
67,4,999.4,736.6,1042.0,787.2,1020.7,761.9,0.303
67,5,766.8,524.6,846.4,588.3,806.6,556.5,0.271
67,6,996.6,716.9,1042.0,787.5,1019.3,752.2,0.148
68,0,1680.1,637.2,1742.2,708.8,1711.1,673.0,0.889
68,1,771.2,515.4,831.8,571.7,801.5,543.5,0.768
68,2,1840.5,657.7,1860.6,684.2,1850.5,671.0,0.422
68,3,1056.8,532.4,1067.1,548.5,1062.0,540.4,0.311
69,0,1680.2,635.9,1742.3,708.0,1711.2,672.0,0.883
69,1,774.9,510.2,831.0,565.3,803.0,537.7,0.823
69,2,1840.7,657.3,1861.0,683.4,1850.9,670.4,0.393
69,3,1056.3,531.4,1066.9,547.9,1061.6,539.7,0.355
70,0,1679.0,635.9,1741.4,707.7,1710.2,671.8,0.887
70,1,775.8,508.0,831.7,567.4,803.7,537.7,0.673
70,2,1839.5,657.1,1860.0,683.1,1849.8,670.1,0.416
70,3,1055.4,532.2,1066.4,548.0,1060.9,540.1,0.346
70,4,775.5,507.7,846.6,577.2,811.0,542.4,0.119
71,0,1678.5,636.0,1740.6,707.5,1709.6,671.8,0.882
71,1,773.9,508.6,835.3,569.7,804.6,539.1,0.679
71,2,1054.2,532.2,1065.8,548.2,1060.0,540.2,0.342
71,3,1837.5,657.0,1858.7,683.7,1848.1,670.3,0.219
72,0,1677.6,636.3,1739.7,707.2,1708.7,671.7,0.888
72,1,769.9,512.2,834.8,569.8,802.3,541.0,0.873
72,2,1052.6,531.3,1064.2,548.5,1058.4,539.9,0.422
72,3,1052.6,524.6,1064.5,548.7,1058.5,536.6,0.137
72,4,1835.1,656.7,1856.8,683.3,1845.9,670.0,0.111
73,0,1677.9,636.6,1738.7,707.9,1708.3,672.3,0.889
73,1,765.5,518.1,830.4,574.2,798.0,546.1,0.876
73,2,1051.6,532.6,1063.5,549.1,1057.6,540.9,0.437
73,3,1835.0,657.3,1856.2,683.7,1845.6,670.5,0.126
73,4,1051.6,523.8,1063.9,549.2,1057.7,536.5,0.117
74,0,1679.2,636.7,1740.0,708.1,1709.6,672.4,0.877
74,1,760.5,526.8,818.0,584.8,789.3,555.8,0.820
74,2,1051.0,532.4,1063.4,549.3,1057.2,540.9,0.509
74,3,1836.0,657.1,1857.8,683.7,1846.9,670.4,0.163
74,4,1050.9,523.6,1063.8,549.3,1057.3,536.4,0.119
